arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
الرحب,Al-Rahab,split,الخنهه - الرحب,Al-Khanah - Al-Rahab,الرحب,Al-Rahab,5,8
حبوه المدد,Habwah Al-Madad,original,,,حبوه المدد,Habwah Al-Madad,10,15
الجمينه,al-Jaminah,split,جبل الحكيمه - الجمينه,Jabal al-Hakimah - al-Jaminah,الجمينه,al-Jaminah,7,10
بني مليك,Bani Malik,split,بني مليك - جنس,Bani Malik - Jins,بني مليك,Bani Malik,8,10
كبة القوبز,Kubbat al-Qubz,split,السويهره - كبة القوبز,Al Suwayhira - Kubbat al-Qubz,كبة القوبز,Kubbat al-Qubz,10,14
يعاقبه,Yaaqaba,split,يعاقبه - المعينه,Yaaqaba - Al-Mainah,يعاقبه,Yaaqaba,6,7
الرباعنه,Al-Raba'nah,split,الرباعنه - السويداء,Al-Raba'nah - Al-Suwaydah,الرباعنه,Al-Raba'nah,8,11
بعشيره,Ba'shirah,split,الردف - بعشيره,Al-Radf - Ba'shirah,بعشيره,Ba'shirah,6,9
المقلب,Al-Maqlab,split,المقلب - برح العميره,Al-Maqlab - Barh Al-'Amirah,المقلب,Al-Maqlab,6,9
الضيجه,Ad-Dhayjah,split,الضيجه - الحرف,Ad-Dhayjah - Al-Harf,الضيجه,Ad-Dhayjah,6,10
القحفه,Al-Qahfah,original,,,القحفه,Al-Qahfah,6,9
الهداله,Al-Hadalah,split,الاتيمه - الهداله,Al-Atima - Al-Hadalah,الهداله,Al-Hadalah,7,10
الصنمه,Al-Sunmah,split,الصنمه - الجاتين,Al-Sunmah - Al-Jatin,الصنمه,Al-Sunmah,6,9
المقيديحه,Al-Muqaydihah,split,بني حجاج - المقيديحه,Bani Hajjaj - Al-Muqaydihah,المقيديحه,Al-Muqaydihah,9,13
العفيرة,Al-Afira,split,العفيرة - المرازم,Al-Afira - Al-Marazim,العفيرة,Al-Afira,7,8
الظهره,Al-Dhahra,split,الكدمه - الظهره,Al-Kadmah - Al-Dhahra,الظهره,Al-Dhahra,6,9
بني حجاج,Bani Hajjaj,split,بني حجاج - المعطاب,Bani Hajjaj - Al-Ma'tab,بني حجاج,Bani Hajjaj,8,11
الحطيب,Al-Hutaib,split,مقدم راس - الحطيب,Muqaddam Ras - Al-Hutaib,الحطيب,Al-Hutaib,6,9
الركز,al-Rukz,split,الركز - الاعروق,al-Rukz - al-'Aruq,الركز,al-Rukz,5,7
الحيمه,Al-Haymah,split,الحيمه - حصب الماس,Al-Haymah - Hasab Al-Mas,الحيمه,Al-Haymah,6,9
بني دريغم,Bani Drigham,split,بني دريغم - الكدف,Bani Drigham - Al-Kadif,بني دريغم,Bani Drigham,9,12
القوادر,Al-Qawadir,split,الشبارة - القوادر,Al-Shabarah - Al-Qawadir,القوادر,Al-Qawadir,7,10
بني دريغم,Bani Drigham,split,بني دريغم - الشرف,Bani Drigham - Al-Sharaf,بني دريغم,Bani Drigham,9,12
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - المصيرع,Wadi Sa'adah - al-Musayri',وادي سعاده,Wadi Sa'adah,10,12
التعبره,At-Ta'barah,split,الضيجه - التعبره,Ad-Dhayjah - At-Ta'barah,التعبره,At-Ta'barah,7,11
حصب النقود,Hasab Al-Nuqud,split,الغوبقه - حصب النقود,Al-Ghubaqah - Hasab Al-Nuqud,حصب النقود,Hasab Al-Nuqud,10,14
شبيه,Shabih,split,شبيه - الاكمه,Shabih - Al-Akmah,شبيه,Shabih,4,6
المزبر,al-Mazbar,split,بني عامر - المزبر,Bani Amer - al-Mazbar,المزبر,al-Mazbar,6,9
قرف الهاديه,Qarf Al-Hadiya,split,العارضه - قرف الهاديه,Al-'Arida - Qarf Al-Hadiya,قرف الهاديه,Qarf Al-Hadiya,11,14
الحروره,Al-Harura,split,رهبه - الحروره,Rahbah - Al-Harura,الحروره,Al-Harura,7,9
المذاليع,Al-Madhali',split,العفيرة - المذاليع,Al-Afira - Al-Madhali',المذاليع,Al-Madhali',8,11
الهاملي,Al-Hamli,split,الهاملي - النوبه,Al-Hamli - Al-Nubah,الهاملي,Al-Hamli,7,8
عزان,Azzan,split,البليلي - عزان,Al-Balili - Azzan,عزان,Azzan,4,5
المطارشة,Al-Matarsha,split,الزغبري - المطارشة,Al-Zaghbari - Al-Matarsha,المطارشة,Al-Matarsha,8,11
البكره,Al-Bakrah,split,الغيل - البكره,Al-Ghayl - Al-Bakrah,البكره,Al-Bakrah,6,9
الملك,Al-Malik,original,,,الملك,Al-Malik,5,8
المقلد,Al-Muqallad,split,بني حجاج - المقلد,Bani Hajjaj - Al-Muqallad,المقلد,Al-Muqallad,6,11
المقيصع,Al-Muqaysi',split,المقيصع - المعسار,Al-Muqaysi' - Al-Ma'sar,المقيصع,Al-Muqaysi',7,11
المقلب,Al-Maqlab,split,المقلب - الابراح,Al-Maqlab - Al-Abrah,المقلب,Al-Maqlab,6,9
جبل العمري,Jabal Al-Amri,split,جبل العمري - الحنيشيه,Jabal Al-Amri - Al-Hanishiya,جبل العمري,Jabal Al-Amri,10,13
القحفه,Al-Qahfah,split,القحفه - الحجاجيه,Al-Qahfah - Al-Hajjajiyah,القحفه,Al-Qahfah,6,9
حنه العليا,Hanna Al-Ulya,split,حنه العليا - حصب الراحه,Hanna Al-Ulya - Hasab Al-Rahah,حنه العليا,Hanna Al-Ulya,10,13
الرواع,Ar-Rawa',original,,,الرواع,Ar-Rawa',6,8
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - قحيفة المشعار,Wadi Sa'adah - Qahifat al-Mish'ar,وادي سعاده,Wadi Sa'adah,10,12
النوبه,Al-Nubah,split,الشقيراء - النوبه,Al-Shuqayra - Al-Nubah,النوبه,Al-Nubah,6,8
خوصانه,Khawsana,split,المزانده - خوصانه,Al-Mazanda - Khawsana,خوصانه,Khawsana,6,8
الازيود,Al-Azyoud,split,الازيود - الزريقاء,Al-Azyoud - Al-Zariqa',الازيود,Al-Azyoud,7,9
الذنبه,Al-Dhanbah,original,,,الذنبه,Al-Dhanbah,6,10
البيضاء,al-Bayda',split,القحيزه - البيضاء,al-Qahizah - al-Bayda',البيضاء,al-Bayda',7,9
الحثن,Al-Hathn,split,الغيل - الحثن,Al-Ghayl - Al-Hathn,الحثن,Al-Hathn,5,8
الخافشية,Al-Khafshiyah,split,حاضيه - الخافشية,Hadhiyah - Al-Khafshiyah,الخافشية,Al-Khafshiyah,8,13
بني عامر,Bani Amer,split,بني عامر - العبدل,Bani Amer - Al-Abdal,بني عامر,Bani Amer,8,9
القبعه,al-Qubba'a,split,بني عامر - القبعه,Bani Amer - al-Qubba'a,القبعه,al-Qubba'a,6,10
الطليله,Al-Talilah,split,الطليله - الصفاء,Al-Talilah - Al-Safa,الطليله,Al-Talilah,7,10
رهاده العليا,Rahadah Al-'Ulya,split,نمره - رهاده العليا,Nimrah - Rahadah Al-'Ulya,رهاده العليا,Rahadah Al-'Ulya,12,16
شعبو,Sha'bu,split,شعبو - العهارف,Sha'bu - Al-'Aharif,شعبو,Sha'bu,4,6
الغرافي,Al-Gharrafi,original,,,الغرافي,Al-Gharrafi,7,11
الدرباني,Al-Darbani,split,حنه السفلى - الدرباني,Hannah Al-Sufla - Al-Darbani,الدرباني,Al-Darbani,8,10
نجد الشلبى,Najd al-Shalabi,split,نمره - نجد الشلبى,Nimrah - Najd al-Shalabi,نجد الشلبى,Najd al-Shalabi,10,15
الذنبه,Al-Dhanba,original,,,الذنبه,Al-Dhanba,6,9
الشطين,al-Shattin,split,جحزر - الشطين,Jahzar - al-Shattin,الشطين,al-Shattin,6,10
السويهره,Al Suwayhira,split,السويهره - دارالقعموس,Al Suwayhira - Dar al-Qa'mus,السويهره,Al Suwayhira,8,12
حنه العليا,Hanna Al-Ulya,split,حنه العليا - ذي عيان,Hanna Al-Ulya - Dhi Ayan,حنه العليا,Hanna Al-Ulya,10,13
الحريقيه,Al-Hariqiya,original,,,الحريقيه,Al-Hariqiya,8,11
بني عامر,Bani Amer,split,بني عامر - بيت الصوفي,Bani Amer - Bayt al-Sufi,بني عامر,Bani Amer,8,9
بير الدلو,Bir Al-Dalu,split,بير الدلو - الجوارف,Bir Al-Dalu - Al-Jawarif,بير الدلو,Bir Al-Dalu,9,11
الدابوليا,Al-Daboulia,split,الجروبة - الدابوليا,Al-Jarouba - Al-Daboulia,الدابوليا,Al-Daboulia,9,11
النوبه,Al-Nawba,split,حنه العليا - النوبه,Hanna Al-Ulya - Al-Nawba,النوبه,Al-Nawba,6,8
شعب حزام,Sha'b Hizam,split,الردف - شعب حزام,Al-Radf - Sha'b Hizam,شعب حزام,Sha'b Hizam,8,11
السويهره,Al Suwayhira,split,السويهره - كبة القوبز,Al Suwayhira - Kubbat al-Qubz,السويهره,Al Suwayhira,8,12
يعاقبه,Yaaqaba,split,يعاقبه - الجوم,Yaaqaba - Al-Jawm,يعاقبه,Yaaqaba,6,7
واحجه,Wahjah,split,واحجه - السبيل,Wahjah - As-Sabil,واحجه,Wahjah,5,6
العفيرة,Al-Afira,split,العفيرة - الروضة,Al-Afira - Ar-Rawda,العفيرة,Al-Afira,7,8
الصـويره - قحفه العيدروس,Al-Sawerah-Qahfat Al-Aidaroos,original,,,الصويره - قحفه العيدروس,Al-Sawerah-Qahfat Al-Aidaroos,23,29
الخرائب,Al-Khara'ib,split,النوازل - الخرائب,Al-Nawazil - Al-Khara'ib,الخرايب,Al-Khara'ib,7,11
الكويحه,Al-Kuwayhah,split,الكويحه - الذراع,Al-Kuwayhah - Al-Dhra',الكويحه,Al-Kuwayhah,7,11
الخنهه,Al-Khanah,original,,,الخنهه,Al-Khanah,6,9
الكويحه,Al-Kuwayhah,split,الكويحه - الحضين,Al-Kuwayhah - Al-Hadhin,الكويحه,Al-Kuwayhah,7,11
الكدمه,Al-Kadmah,split,الكدمه - الصرادح,Al-Kadmah - Al-Saradih,الكدمه,Al-Kadmah,6,9
الحجافيه,Al-Hajafiyah,split,الحجافيه - الدحيم,Al-Hajafiyah - Al-Duhaym,الحجافيه,Al-Hajafiyah,8,12
عريدان,Aridan,split,الغيل - عريدان,Al-Ghayl - Aridan,عريدان,Aridan,6,6
جزيرة ميون,Jazirat Mayyun,original,,,جزيرة ميون,Jazirat Mayyun,10,14
المكيمل,al-Mukaymil,split,الجبيه - المكيمل,al-Jubayyah - al-Mukaymil,المكيمل,al-Mukaymil,7,11
الساحرة,Al-Sahira,split,البليلي - الساحرة,Al-Balili - Al-Sahira,الساحرة,Al-Sahira,7,9
المبذل,Al-Mabdhil,split,المبذل - المتون,Al-Mabdhil - Al-Mutun,المبذل,Al-Mabdhil,6,10
جويب,Juwayb,split,السويهره - جويب,Al Suwayhira -  Juwayb,جويب,Juwayb,4,6
بني مليك,Bani Malik,split,بني مليك - نوبة شقفات,Bani Malik - Nawbat Shaqfat,بني مليك,Bani Malik,8,10
الحمراء,Al-Hamra,split,الحمراء - ذياب,Al-Hamra - Dhiab,الحمراء,Al-Hamra,7,8
المعصرة,Al-Ma'sara,split,المعصرة - عبدالقادر,Al-Ma'sara - Abdul Qadir,المعصرة,Al-Ma'sara,7,10
العارضه,Al-'Arida,split,العارضه - النبيع,Al-'Arida - Al-Nabi',العارضه,Al-'Arida,7,9
حاضيه العليا,Hadhiya al-Ulya,split,القحيزه - حاضيه العليا,al-Qahizah - Hadhiya al-Ulya,حاضيه العليا,Hadhiya al-Ulya,12,15
باسعد,Bas'ad,split,موزع - باسعد,Mawza' - Bas'ad,باسعد,Bas'ad,5,6
نوبة عامر,Nawbat Amer,split,نوبة عامر - حصب الكامل,Nawbat Amer - Hasab Al-Kamil,نوبة عامر,Nawbat Amer,9,11
العقه,Al-Aqah,split,جسر رسيان - العقه,Rasian Bridge - Al-Aqah,العقه,Al-Aqah,5,7
الركب,al-Rakb,split,بني عامر - الركب,Bani Amer - al-Rakb,الركب,al-Rakb,5,7
المجزره,Al-Majzarah,split,الغريف - المجزره,Al-Gharif - Al-Majzarah,المجزره,Al-Majzarah,7,11
حاضيه,Hadhiyah,split,حاضيه - الشعب,Hadhiyah - al-Sha'b,حاضيه,Hadhiyah,5,8
الهاملي,Al-Hamli,split,الهاملي - الدربنه,Al-Hamli - Al-Darbana,الهاملي,Al-Hamli,7,8
الدخيل,Al-Dakhil,split,حنه العليا - الدخيل,Hanna Al-Ulya - Al-Dakhil,الدخيل,Al-Dakhil,6,9
الغارب,Al-Gharib,split,الرباعنه - الغارب,Al-Raba'nah - Al-Gharib,الغارب,Al-Gharib,6,9
بني مليك,Bani Malik,split,بني مليك - شعب عواض,Bani Malik - Sha'b 'Awadh,بني مليك,Bani Malik,8,10
الطفيلي,Al-Tufayli,split,الطفيلي - عكشة,Al-Tufayli - 'Akashah,الطفيلي,Al-Tufayli,7,10
الحصه,Al-Hisah,split,الصنمه - الحصه,Al-Sanmah - Al-Hisah,الحصه,Al-Hisah,5,8
الهليبه,Al-Hulaybah,split,الحد - الهليبه,Al-Had - Al-Hulaybah,الهليبه,Al-Hulaybah,7,11
عقمه الشقه,Aqmah Al-Shaqqah,split,بني حجاج - عقمه الشقه,Bani Hajjaj - Aqmah Al-Shaqqah,عقمه الشقه,Aqmah Al-Shaqqah,10,16
الشعيب,Al-Shu'aib,split,بوميه - الشعيب,Bumiya - Al-Shu'aib,الشعيب,Al-Shu'aib,6,10
بني مليك,Bani Malik,split,بني مليك - الاجراف,Bani Malik - al-Ajraf,بني مليك,Bani Malik,8,10
الوحيز,Al-Wahiz,split,الوحيز - الطوير,Al-Wahiz - Al-Tuwayr,الوحيز,Al-Wahiz,6,8
هيجة حقر,Hayjah Haqr,split,المزانده - هيجة حقر,Al-Mazanda - Hayjah Haqr,هيجة حقر,Hayjah Haqr,8,11
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - المشعارالاعلى,Wadi Sa'adah - al-Mish'ar al-A'la,وادي سعاده,Wadi Sa'adah,10,12
الجديد,Al-Jadeed,split,الكدحه - الجديد,Al-Kadha - Al-Jadeed,الجديد,Al-Jadeed,6,9
جريزه,Jariza,split,جريزه - الكامه,Jariza - Al-Kama,جريزه,Jariza,5,6
الشقيراء,Al-Shuqayra,split,الشقيراء - الدار,Al-Shuqayra - Al-Dar,الشقيراء,Al-Shuqayra,8,11
المزانده,Al-Mazanda,split,المزانده - النجد الاسفل,Al-Mazanda - Al-Najd Al-Asfal,المزانده,Al-Mazanda,8,10
الصنمه,Al-Sanmah,split,الصنمه - شط معوضه,Al-Sanmah - Shat Mu'awwah,الصنمه,Al-Sanmah,6,9
السويداء,Al-Suwayda',split,السويداء - وادي رين,Al-Suwayda' - Wadi Rin,السويداء,Al-Suwayda',8,11
المقاصع,Al-Maqasa',split,جعاشي - المقاصع,Ja'ashi - Al-Maqasa',المقاصع,Al-Maqasa',7,10
الغرافي,Al-Gharrafi,split,الغرافي - الحصب,Al-Gharrafi - Al-Hasab,الغرافي,Al-Gharrafi,7,11
الضــدح,al-Dhadhah,split,بني مليك - الضــدح,Bani Malik - al-Dhadhah,الضدح,al-Dhadhah,5,10
الحدابيه,Al-Hadabiyah,split,الحدابيه - بلد الساده,Al-Hadabiyah - Balad Al-Sadah,الحدابيه,Al-Hadabiyah,8,12
الحد,Al-Had,split,الحد - عقار,Al-Had - 'Aqar,الحد,Al-Had,4,6
الرشيح الاعلى,Al-Rashih Al-A'la,split,العريش - الرشيح الاعلى,Al-Arish - Al-Rashih Al-A'la,الرشيح الاعلى,Al-Rashih Al-A'la,13,17
حصيب ياسين,Hasib Yasin,split,العارضه - حصيب ياسين,Al-'Arida - Hasib Yasin,حصيب ياسين,Hasib Yasin,10,11
العارضه,Al-'Arida,split,العارضه - الميدام,Al-'Arida - Al-Midam,العارضه,Al-'Arida,7,9
الطوير,Al-Tuwair,split,الطوير - الذريع,Al-Tuwair - Al-Dhari',الطوير,Al-Tuwair,6,9
الرجمه,Al-Rajma,split,بني دريغم - الرجمه,Bani Drigham - Al-Rajma,الرجمه,Al-Rajma,6,8
الكديحة,Al-Kadihah,original,,,الكديحة,Al-Kadihah,7,10
الدمينية,Al-Dumayniya,split,جحزر - الدمينية,Jahzar - Al-Dumayniya,الدمينية,Al-Dumayniya,8,12
الذراع,Al-Dhra',split,الكويحه - الذراع,Al-Kuwayhah - Al-Dhra',الذراع,Al-Dhra',6,8
الصلعـي,Al-Sal'i,split,النوازل - الصلعـي,Al-Nawazil - Al-Sal'i,الصلعي,Al-Sal'i,6,8
اليواجد,al-Yawajid,split,جبل الحكيمه - اليواجد,Jabal al-Hakimah - al-Yawajid,اليواجد,al-Yawajid,7,10
الحلجوم,Al-Haljum,split,الطليله - الحلجوم,Al-Talilah - Al-Haljum,الحلجوم,Al-Haljum,7,9
السفالية,Al-Safaliyah,split,السفالية - الزعاترالسفلى,Al-Safaliyah - Al-Za'atir Al-Sufla,السفالية,Al-Safaliyah,8,12
قناهو بن علي,Qanahu Bin Ali,split,قناهو بن علي - الحصين,Qanahu Bin Ali - Al-Husayn,قناهو بن علي,Qanahu Bin Ali,12,14
الخنهه,Al-Khanah,split,الخنهه - القلعه,Al-Khanah - Al-Qal'ah,الخنهه,Al-Khanah,6,9
الغيل,Al-Ghayl,split,الغيل - الحجفه,Al-Ghayl - Al-Hajfah,الغيل,Al-Ghayl,5,8
الحدبة,Al-Hadbah,split,نوبة عامر - الحدبة,Nawbat Amer - Al-Hadbah,الحدبة,Al-Hadbah,6,9
الرجحه,Al-Rajhah,split,الرجحه - ثعوبه,Al-Rajhah - Tha'uba,الرجحه,Al-Rajhah,6,9
السفالية,Al-Safaliyah,split,السفالية - المحاوي,Al-Safaliyah - Al-Mahawi,السفالية,Al-Safaliyah,8,12
المقيصع,Al-Muqaysi',split,المقيصع - البقاصة,Al-Muqaysi' - Al-Baqasa,المقيصع,Al-Muqaysi',7,11
الفحيشيه,Al-Fahishiya,original,,,الفحيشيه,Al-Fahishiya,8,12
شط علي,Shat Ali,split,الغيل - شط علي,Al-Ghayl - Shat Ali,شط علي,Shat Ali,6,8
رصافة,Rasafah,split,الشعيب - رصافة,Al-Shuaib - Rasafah,رصافة,Rasafah,5,7
الصنمه,Al-Sunmah,split,الصنمه - ذاخشه,Al-Sunmah - Dhakhshah,الصنمه,Al-Sunmah,6,9
الشبارة,Al-Shabarah,split,الشبارة - الصعيدة,Al-Shabarah - Al-Sa'idah,الشبارة,Al-Shabarah,7,11
الشعبين,Al-Sha'been,split,الطوير - الشعبين,Al-Tuwair - Al-Sha'been,الشعبين,Al-Sha'been,7,11
الدرابي,Al-Darabi,split,العقمه - الدرابي,Al-Aqmah - Al-Darabi,الدرابي,Al-Darabi,7,9
الابراح,Al-Abrah,split,المقلب - الابراح,Al-Maqlab - Al-Abrah,الابراح,Al-Abrah,7,8
السويهره,Al Suwayhira,split,السويهره - الرمادي,Al Suwayhira - Al-ramady,السويهره,Al Suwayhira,8,12
المقلب,Al-Maqlab,original,,,المقلب,Al-Maqlab,6,9
العقمه,Al-Aqmah,split,العقمه - الصراره,Al-Aqmah - Al-Sarrah,العقمه,Al-Aqmah,6,8
ذاسرعيد,Dhasar 'Aid,split,الصنمه - ذاسرعيد,Al-Sunmah - Dhasar 'Aid,ذاسرعيد,Dhasar 'Aid,7,11
بني عامر,Bani Amer,split,بني عامر - القبعه,Bani Amer - al-Qubba'a,بني عامر,Bani Amer,8,9
الطور,al-Tur,split,جحزر - الطور,Jahzar - al-Tur,الطور,al-Tur,5,6
النجيب,Al-Najib,split,شعبو - النجيب,Sha'bu - Al-Najib,النجيب,Al-Najib,6,8
بوميه,Bumiya,split,بوميه - المعمل,Bumiya - Al-Ma'mal,بوميه,Bumiya,5,6
الحميده,Al-Hamidah,split,الموسنه - الحميده,Al-Musinah - Al-Hamidah,الحميده,Al-Hamidah,7,10
جعاشي,Ja'ashi,split,جعاشي - الظاهرة,Ja'ashi - Al-Dhahira,جعاشي,Ja'ashi,5,7
الاكمـــه,Al-Akma,split,بير الدلو - الاكمـــه,Bir Al-Dalu - Al-Akma,الاكمه,Al-Akma,6,7
نوبة عامر,Nawbat Amer,split,نوبة عامر - الحليبة,Nawbat Amer - Al-Halibah,نوبة عامر,Nawbat Amer,9,11
الجبيه,al-Jubayyah,split,الجبيه - القصبه,al-Jubayyah - al-Qasbah,الجبيه,al-Jubayyah,6,11
شبيه,Shabih,split,شبيه - الجرزين,Shabih - Al-Jarzeen,شبيه,Shabih,4,6
المنقد,Al-Munqad,split,العريش - المنقد,Al-Arish - Al-Munqad,المنقد,Al-Munqad,6,9
الضيجه,Ad-Dhayjah,split,الضيجه - الماقبه,Ad-Dhayjah - Al-Maqbah,الضيجه,Ad-Dhayjah,6,10
القطين,AL-Qateen,split,القطين - قراضـه,AL-Qateen - Qaradha,القطين,AL-Qateen,6,9
شعب الحجين,Sha'ab al-Hajin,split,وادي سعاده - شعب الحجين,Wadi Sa'adah - Sha'ab al-Hajin,شعب الحجين,Sha'ab al-Hajin,10,15
الكدف,Al-Kadif,split,بني دريغم - الكدف,Bani Drigham - Al-Kadif,الكدف,Al-Kadif,5,8
العرجوشى,al-Arjushi,split,جحزر - العرجوشى,Jahzar - al-Arjushi,العرجوشى,al-Arjushi,8,10
حزاز,Hazaz,split,شبيه - حزاز,Shabih - Hazaz,حزاز,Hazaz,4,5
وادي الشط,Wadi al-Shatt,split,وادي الشط - النوبه,Wadi al-Shatt - al-Nuba,وادي الشط,Wadi al-Shatt,9,13
نمره,Nimrah,split,نمره - مشعار نمره,Nimrah - Mish'ar Nimrah,نمره,Nimrah,4,6
المجزع,Al-Majza',split,الرباعنه - المجزع,Al-Raba'nah - Al-Majza',المجزع,Al-Majza',6,9
الدوش,Al-Doush,split,الدوش - الحدبه الحمراء,Al-Doush - Al-Hadba Al-Hamra,الدوش,Al-Doush,5,8
المزرعة,Al-Mazra'a,split,جعاشي - المزرعة,Ja'ashi - Al-Mazra'a,المزرعة,Al-Mazra'a,7,10
الشكلة,al-Shaklah,split,حاضيه - الشكلة,Hadhiyah - al-Shaklah,الشكلة,al-Shaklah,6,10
خباثه,Khabathah,split,الادروس - خباثه,Al-Adrus - Khabathah,خباثه,Khabathah,5,9
